category,title,url,status
canonical research source,59-micron inverse-square constraint,https://doi.org/10.1103/PhysRevLett.116.131101,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,AEgIS experiment description,https://aegis.web.cern.ch/about.php,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,AEgIS official CERN page,https://home.cern/science/experiments/aegis/,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,ALPHA-g antihydrogen gravity,https://doi.org/10.1038/s41586-023-06527-1,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Alcubierre warp metric,https://doi.org/10.1088/0264-9381/11/5/001,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Atom interferometric quantum sensors review,https://www.nature.com/articles/s42254-019-0117-4,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Averaged energy conditions and quantum inequalities,https://doi.org/10.1103/PhysRevD.51.4277,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,BMV gravity-mediated entanglement proposal 1,https://doi.org/10.1103/PhysRevLett.119.240401,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,BMV gravity-mediated entanglement proposal 2,https://doi.org/10.1103/PhysRevLett.119.240402,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Biefeld-Brown experimental analysis,https://tu-dresden.de/ing/maschinenwesen/ilr/rfs/ressourcen/dateien/forschung/folder-2007-08-21-5231434330/ag_raumfahrtantriebe/Biefeld-Brown-Effect-AIAA-Journal-Revised.pdf,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Black holes and thermodynamics,https://doi.org/10.1103/PhysRevD.13.191,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,CERN AD/ELENA antimatter review,https://arxiv.org/abs/2503.22471,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Casimir force real materials review,https://doi.org/10.1103/RevModPhys.81.1827,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Casimir theory-experiment precision,https://doi.org/10.1103/PhysRevA.69.022117,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Classical symmetron force in Casimir experiments,https://doi.org/10.1103/PhysRevD.101.064065,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Classical-quantum gravity decoherence vs diffusion,https://www.nature.com/articles/s41467-023-43348-2,URL captured; metadata/title web-located or inherited from Evidence Register
canonical research source,Diamagnetic levitation,https://doi.org/10.1063/1.372654,URL captured; metadata/title web-located or inherited from Evidence Register
